Mois;Injections nettes RPT Nucléaire (MWh);Injections nettes RPT Thermique à combustible fossile (MWh);Injections nettes RPT  Hydraulique (MWh);Injections nettes RPT  Eolien (MWh);Injections nettes RPT  Solaire (MWh);Injections nettes RPT  Bioénergies (MWh);Injections nettes RPT  NA (MWh);Injections nettes RPT  NR (MWh);Soutirages nettes RPD (MWh);Soutirages bruts des clients directs (MWh);Energie soutirée par le pompage (MWh);Solde des échanges physiques (MWh);Energie soutirée par le stockage (MWh);Pertes sur le réseau de RTE (MWh)
2015-09;30632457.517;1421141.921;3160264.23259;105163.184;45826.631;71542.901;720756.541334;0.0;23616117.282278;5543449.360168;404240.222;5156666.25;0.0;1436679.813478004
2015-08;31992992.083;355352.005;3147707.45343;77293.279;55517.76;83403.806;500939.254539;0.0;22600855.129755;5028117.129169;491183.008333;6860251.149999999;0.0;1232799.223712005
2015-07;33268760.518;788473.421;3733732.065286;95694.175;63019.89;75919.939;571902.277668;0.0;24901247.5807001;5557707.096498;510679.798;6297508.175;0.0;1330359.635755944
2015-06;30717391.599;247320.484;5150365.29411;75685.508;61649.46;72074.393;569042.495836;0.0;23505171.060556;5463712.298831;626561.321;6048067.831000001;0.0;1250016.722558967
2015-05;30328966.017;238402.984;5811364.381558;105046.626;54167.65;69124.349;760051.96;0.0;23670932.691909;5549300.132005;729369.831;5962588.822999999;0.0;1454932.489643971
2015-04;31186698.518;1175812.57;5072770.859739;91430.061;54238.197;60348.791;628102.397334;0.0;26794931.789399;5465129.10667101;525581.949;4104841.528999999;0.0;1378917.02000302
2015-03;36914547.292;2379771.058;5742323.450657;123526.089;39555.241;89496.541;740562.738501;0.0;33855670.2107561;5547408.536497;612804.669;4334401.591999999;0.0;1679497.401904918
2015-02;37482320.665;3640335.333332;5780781.056569;113166.712;25279.492;85848.731;575977.932999;0.0;37667862.5508629;4921035.328497;453450.583;3041979.0760000004;0.0;1619382.384540051
2015-01;43791488.657;3207859.456666;5636010.475547;126872.35;15491.355;88359.677;770353.353;0.0;40534397.923323;5305996.6155;642464.8335;5163710.358;0.0;1989865.593890009
2014-12;41633024.29;2691357.855334;5188642.966988;111268.027;10951.036;98318.34;714910.794;0.0;38077559.312944;5197850.007334;622386.154667;4752709.046999998;0.0;1797968.787377004
2014-11;36286603.252;1997780.364666;4445253.800273;76005.629;16398.733;90550.758;492875.639;0.0;30110422.770022;5421203.77716301;705553.607333;5803240.871;0.0;1365047.150421013
2014-10;32797760.455;1806279.142;3451073.622646;61946.135;34015.188;55396.582;448759.908;0.0;26668385.63429;5720270.94700199;701266.077;4330638.887;0.0;1234669.487354041
2014-09;31938587.067;986520.093;3477494.268776;42185.574;49551.516;69092.27;247041.469934;0.0;24390962.9142;5536936.0615;587889.921;5343976.363000001;0.0;950706.999009974
